x	y	RSP_0_10
214631.32176438405	7219953.7603883948	2256
214515.43058043433	7220014.7602501316	2610
214443.74604258442	7220022.7693774514	1871
214466.69678134803	7220073.3771294514	1587
214400.34083919966	7220071.2848619279	2288
214341.44819563406	7220133.7935217358	1858
214211.25951212138	7220120.8000362925	1689
214277.19608824456	7220098.6056937873	1888
214356.75220124103	7220014.5185515247	2090
214402.60901245743	7219971.1656180006	1997
214536.74968943634	7219936.8416047134	2459
214599.9810957638	7219912.4959455607	2094
214657.57880097174	7219879.8610108346	2112
214630.90417096409	7219835.3097371049	2467
214502.85618506797	7219891.6452249056	1720
214436.27818840148	7219911.4289964195	1844
214327.45916909614	7219974.0281156534	2440
214286.99599243683	7220030.4843416885	1835
214154.83297678211	7220071.4885493293	1800
214146.64985952515	7220002.8031461556	2434
214197.53178813489	7219999.8465057565	2452
214303.76562530996	7219947.0977661451	2156
214355.17048377777	7219904.6508690808	2152
214480.7677496231	7219861.5769945774	2608
214544.93386850163	7219840.0616987925	2211
214605.74057054805	7219804.9665772459	2302
214580.81741518428	7219779.7193889432	3220
214520.02895044861	7219810.6273497194	2541
214394.80762254406	7219847.5075322837	2696
214286.99451185093	7219920.5244944328	2523
214238.7510975278	7219962.8679415267	2203
214135.55866190541	7219944.206480003	2214
214116.06125025137	7219882.4730040655	2714
214108.13859537407	7219819.2831258252	2417
214186.17693871656	7219862.157526196	2415
214225.79037031351	7219912.7156455889	1681
214312.7951306976	7219850.4730331898	2043
214366.28320274735	7219817.5412189718	2514
214442.47653816862	7219796.2778112218	1797
214546.96469820832	7219761.6518583391	2321
