x	y	altitude
214631.3218	7219953.76	674.416
214515.4306	7220014.76	676.406
214443.746	7220022.769	673.852
214466.6968	7220073.377	673.295
214400.3408	7220071.285	670.334
214341.4482	7220133.794	669.85
214211.2595	7220120.8	669.892
214277.1961	7220098.606	669.64
214356.7522	7220014.519	669.537
214402.609	7219971.166	669.405
214536.7497	7219936.842	669.723
214599.9811	7219912.496	665.754
214657.5788	7219879.861	665.565
214630.9042	7219835.31	665.663
214502.8562	7219891.645	665.587
214436.2782	7219911.429	665.766
214327.4592	7219974.028	666.052
214286.996	7220030.484	662.112
214154.833	7220071.489	662.284
214146.6499	7220002.803	661.995
214197.5318	7219999.847	662.025
214303.7656	7219947.098	662.377
214355.1705	7219904.651	661.809
214480.7677	7219861.577	661.871
214544.9339	7219840.062	658.261
214605.7406	7219804.967	657.799
214580.8174	7219779.719	658.439
214520.029	7219810.627	658.428
214394.8076	7219847.508	657.862
214286.9945	7219920.524	658.914
214238.7511	7219962.868	657.282
214135.5587	7219944.206	654.331
214116.0613	7219882.473	654.043
214108.1386	7219819.283	653.482
214186.1769	7219862.158	654.166
214225.7904	7219912.716	653.825
214312.7951	7219850.473	653.851
214366.2832	7219817.541	651.335
214442.4765	7219796.278	653.546
214546.9647	7219761.652	655.854
