x	y
214094.34825361107	7219790.6745871995
214153.696611705	7220130.480188909
214381.97955942113	7220145.5481280619
214661.32765530347	7219942.1511864616
214677.20856679126	7219882.6408072645
214595.62079993985	7219761.0462948978
214553.4237299966	7219744.539885059
214549.81401790294	7219745.5018547634
214546.21324152366	7219746.5671169087
214542.43592861656	7219747.8193642627
214538.69394755649	7219749.1676972229
214534.8860702677	7219750.481386546
214530.93194490467	7219751.8374613039
214527.04595548229	7219753.169465486
214523.26153291273	7219754.567902552
214519.25507333427	7219755.7720975224
214515.18632587779	7219756.9140076991
214511.20925200998	7219757.9203660451
214507.11240676406	7219758.7656706879
214503.00524010143	7219759.3812638307
214498.91006981151	7219759.9061969779
214494.96835256717	7219760.526368604
214490.90693762893	7219761.1262884177
214487.20208068815	7219761.6671702396
214483.53890302056	7219762.242185792
214480.08687664761	7219762.9047818659
214476.41152391105	7219763.6269925768
214472.60128661746	7219764.4273039661
214468.63979384454	7219765.2200050717
214464.77464590414	7219766.1355717927
214460.80551076413	7219767.099953521
214456.84369688807	7219768.1964190546
214452.90178601485	7219769.4507318083
214449.04897631891	7219770.7401736956
214445.56442848174	7219771.9419991411
214442.15460904292	7219773.2385202702
214438.70642409712	7219774.5353439767
214435.1896592743	7219775.8772913143
214431.68473111396	7219777.2804629188
214428.03011722682	7219778.7935755486
214424.40607734362	7219780.4370430149
214420.63930699736	7219781.8591062371
214416.80954519386	7219783.3485834897
214413.03400324582	7219784.8037206447
214409.2239134945	7219786.2215456171
214405.489319516	7219787.6974964626
214401.60683669342	7219789.1016044263
214397.8427682505	7219790.4427859811
214393.94108703267	7219791.7034709482
214389.97328308434	7219792.8441394083
214385.98092469224	7219794.1927205715
214381.79958565463	7219795.311165154
214377.6232931324	7219796.5738411266
214373.375321111	7219797.7407743391
214369.14061942673	7219798.8525516018
214364.99608075101	7219799.9008093346
214360.8380203931	7219800.9199566515
214356.8951237569	7219802.0278790751
214353.01618828083	7219803.1182960626
214349.12189299043	7219804.2671488486
214345.17377348186	7219805.5756271295
214341.26921942586	7219806.9726037923
214337.39892558032	7219808.516642835
214333.6382681494	7219809.9831590001
214329.70610655879	7219811.5890909787
214326.0036950956	7219813.5025123991
214322.20347365225	7219815.5070070755
214318.65353754425	7219817.7063386058
214315.28237788961	7219819.9005541615
214311.84414329374	7219822.1643151641
214308.68581713649	7219824.4139973903
214305.52194128465	7219826.7356258221
214302.36755082349	7219829.2304049041
214299.18005852157	7219831.90741832
214296.07253137213	7219834.5739150941
214292.97948781773	7219837.4158848776
214289.90864756197	7219840.1618663389
214286.95717658929	7219842.7994873971
214284.12699315994	7219845.4296771241
214281.44457362231	7219848.2337043993
214278.6699621646	7219851.0535337664
214275.98390010803	7219853.8386363629
214273.14469432918	7219856.5617628628
214270.27596235299	7219859.2487914255
214267.31474262942	7219861.8695743401
214264.49481944257	7219864.4434342831
214261.68307280506	7219866.6759959087
214258.93742891646	7219868.7891006479
214256.1395678962	7219871.2736204937
214253.45283505489	7219873.7538219225
214250.58644406201	7219876.0406673411
214247.78316148114	7219878.3986838255
214244.92061830848	7219880.6944784243
214242.06725309259	7219882.6013229638
214239.35017743835	7219884.2671227632
214236.95052217384	7219885.7189644417
214234.60115733056	7219886.6507882662
214232.41274697357	7219887.0804400407
214230.31747906696	7219887.0164734442
214228.30604009482	7219886.4697795417
214226.25772307697	7219885.4200841952
214223.99586517236	7219883.3392766267
214222.0298106292	7219880.5839600535
214220.34004037583	7219877.3144814037
214218.77571882121	7219873.7915353086
214217.29804821516	7219870.3724065516
214215.88529454311	7219866.7462116154
214214.47118356469	7219863.1366179334
214213.18329896644	7219859.5729136001
214211.57470245421	7219856.0434927447
214209.94495585409	7219852.3196103955
214208.41209836141	7219848.884908068
214206.76431018411	7219845.5874832943
214205.16119064263	7219842.374146672
214203.56881247991	7219838.8417390045
214201.9756510958	7219835.2505551744
214200.33343042608	7219831.6882744692
214198.69836788613	7219828.4099628646
214197.03101845313	7219825.1309726797
214195.43124220142	7219822.0950914156
214193.78496836865	7219819.2544673141
214192.1024185883	7219816.5549903577
214190.48109253508	7219814.0164475422
214188.49457405915	7219811.4192335568
214186.24249822344	7219809.0658905264
214183.94614432362	7219806.850200329
214181.33665497351	7219804.7886878587
214178.24763162516	7219802.6816227026
214174.68104591389	7219800.5312632676
214170.70449282619	7219798.4354834706
214166.73601328663	7219796.7722526994
214162.58260221942	7219795.2148933224
214158.44525826321	7219793.7576503232
214154.05739826808	7219792.5490274243
214149.75202770054	7219791.6902582096
214145.35272045521	7219790.9304026384
214141.05272146815	7219790.2003489947
214136.7532503223	7219789.6853867769
214132.2475103286	7219789.3789532818
214128.03356975626	7219789.4533799849
214123.76862117671	7219789.265087679
214119.67627147341	7219789.3176761363
214115.42399638344	7219789.4389661672
214111.29223342129	7219789.5417226627
214106.91270100727	7219789.6182063995
214102.71191412484	7219789.9312655907
214098.47344490851	7219790.2601616438
214094.34825361107	7219790.6745871995
