LONG	LAT	Altitude
-54.003584	-25.406413	344.971
-54.003352	-25.405987	344.399
-54.003666	-25.405688	346.526
-54.003855	-25.40601	347.346
-54.004026	-25.406332	347.555
-54.004512	-25.406208	350.365
-54.004327	-25.405808	350.56
-54.004185	-25.405498	350.327
-54.004521	-25.405265	353.464
-54.004618	-25.404741	355.62
-54.004895	-25.405147	357.107
-54.004912	-25.405569	355.756
-54.00506	-25.405941	355.556
-54.005749	-25.406253	359.45
-54.005557	-25.405934	359.448
-54.005377	-25.405561	359.326
-54.005266	-25.405263	359.148
-54.005005	-25.404847	358.567
-54.004786	-25.404397	358.427
-54.004396	-25.404148	358.273
-54.003974	-25.4036	362.496
-54.004495	-25.403667	362.027
-54.005058	-25.404076	361.121
-54.005213	-25.404539	360.662
-54.005547	-25.404998	362.241
-54.005795	-25.405456	362.876
-54.006154	-25.405914	363.263
-54.006563	-25.406306	363.197
-54.006352	-25.406876	361.147
-54.006605	-25.407344	364.702
-54.006865	-25.407759	367.596
-54.007524	-25.407516	367.23
-54.007221	-25.407062	365.481
-54.00768	-25.406859	365.216
-54.007906	-25.407313	365.842
-54.008443	-25.407086	363.288
-54.008096	-25.406679	363.266
-54.007602	-25.406358	365.277
-54.006961	-25.406115	365.769
-54.006721	-25.405733	366.84
-54.007328	-25.405728	367.953
-54.006909	-25.405224	369.618
-54.006418	-25.405284	367.251
-54.006654	-25.404755	369.836
-54.006108	-25.404799	366.811
-54.005847	-25.404344	366.172
-54.005768	-25.403917	366.845
-54.005495	-25.403588	366.463
-54.005295	-25.40332	366.249
-54.00501	-25.403101	366.709
-54.004621	-25.402936	367.3
-54.004342	-25.403139	366.055
-54.004015	-25.402915	367.35
-54.003723	-25.403079	365.817
-54.003456	-25.402893	366.592
-54.004191	-25.402454	369.844
-54.004506	-25.402252	370.678
-54.004245	-25.401874	371.355
-54.00393	-25.40206	371.134
-54.003584	-25.402257	370.426
-54.003238	-25.402476	368.826
-54.003025	-25.402197	370.276
-54.003396	-25.401972	371.267
-54.003723	-25.401753	371.609
-54.003978	-25.401545	371.5
-54.003766	-25.401265	371.517
-54.003499	-25.401435	372.127
-54.003195	-25.401627	372.258
-54.002837	-25.401874	371.69
-54.002649	-25.401654	372.58
-54.002983	-25.401402	372.866
-54.003286	-25.401194	372.322
-54.003535	-25.400986	371.528
